country,total_pop,age_limit,target_pop,max_coverage
Afghanistan,38928341,18,19869789.00000002,51.041961947466554
Bahrain,1701583,5,1593521.9999999988,93.64938413230497
Egypt,102334403,12,73431160.4,71.75608421734772
Iran,83992953,5,76354876.00000007,90.90628829301914
Iraq,40222503,18,22561979.399999987,56.092927384454384
Jordan,10203140,12,7534725.399999989,73.84712353255948
Kuwait,4270563,5,3980874.000000003,93.21660867665464
Lebanon,6825442,12,5449576.6,79.84210546364616
Libya,6871287,12,5336333.40000001,77.66133767953528
Morocco,36910558,12,28906840.800000016,78.31591383690275
Oman,5106622,5,4652740.999999993,91.11191311986657
Pakistan,220892331,12,158048651.80000016,71.55008554823941
Palestine,5101416,12,3499902.800000003,68.60649670601266
Qatar,2881060,5,2745808.9999999967,95.30551255440695
Saudi Arabia,34813867,5,31835219.000000015,91.44407600569053
Sudan,43849269,18,23516817.199999988,53.63103590164751
Syria,17500657,18,11169569.79999999,63.82371701816675
Tunisia,11818618,12,9459382.600000003,80.03797567532857
United Arab Emirates,9890400,5,9391230.999999994,94.9529948232629
GCC Countries,58664095,,54199396,92.38938400055434
Eastern Mediterranean Region,684115013,,499339001.2000002,72.99050477057726
North African Countries,201784135,,140650534.4,69.70346524021822
